date,source,title,description
2026-06-11,TOP_NEWS,"Karmelo Anthony's family says ""nobody wins"" after murder verdict and sentencing - CBS News","Karmelo Anthony's family says ""nobody wins"" after murder verdict and sentencing  CBS NewsHow Karmelo Anthony’s Stabbing Case Became A Racial Flashpoint In Texas  ForbesAdvocates urge deeper look at issues highlighted by Karmelo Anthony murder case  YahooOne day after conviction, Karmelo Anthony files notice of appeal and says he can't afford a lawyer  WFAAKarmelo Anthony is appealing murder conviction. Latest on contentious case  USA Today"
2026-06-11,TOP_NEWS,Federal authorities investigate giant ‘8647’ markings on National Mall - NBC News,"Federal authorities investigate giant ‘8647’ markings on National Mall  NBC NewsHuge ‘8647’ etched into grass on the National Mall, aerial images show  CNNNumbers '86 47' appear on the National Mall, USPP investigating  WJLALarge etchings of numbers signaling opposition to Trump appear on National Mall  The Washington PostMarkings that appear to show the numbers ""86 47"" seen on National Mall in Washington  CBS News"
2026-06-11,TOP_NEWS,A ‘very strong’ El Niño is likely. And it could hit California hard - Los Angeles Times,"A ‘very strong’ El Niño is likely. And it could hit California hard  Los Angeles TimesEl Niño is here and rapidly strengthening. Here’s what it means for your weather  CNNNOAA Issues El Nino Advisory  The New York TimesEl Niño is officially here, and this one could be a doozy  NBC NewsEl Niño has formed. Forecasters expect a global weather powerhouse.  USA Today"
2026-06-11,TOP_NEWS,"Vance Boelter pleads guilty, agrees to serve life in prison for his attacks on Minnesota lawmakers - Star Tribune","Vance Boelter pleads guilty, agrees to serve life in prison for his attacks on Minnesota lawmakers  Star TribuneBoelter pleads guilty in lawmaker attacks, agrees to two life sentences  MPR NewsInside the manhunt for Vance Boelter  CBS NewsMan pleads guilty to slaying top Democrat and her husband in Minnesota  Al JazeeraSuspect in the Killing of a Minnesota Lawmaker Strikes a Plea Deal  The New York Times"
2026-06-11,TOP_NEWS,What to know about the stabbing that set off fiery riots in Northern Ireland - PBS,What to know about the stabbing that set off fiery riots in Northern Ireland  PBSPolice blast water cannons at protesters amid unrest over stabbing in Belfast  NPRMinister condemns ‘racist thuggery’ as violence returns to Northern Ireland  Al JazeeraBelfast knife attack latest: 12 police officers injured in latest disorder after - follow live  BBCPolice were warned for months about addresses targeted in Belfast riots  The Guardian
2026-06-11,TOP_NEWS,"Ukrainians hit four more Crimea bridges, amid reports of empty shelves in food shops (Ukraine Battlefield update, Day 1,568) - EUobserver","Ukrainians hit four more Crimea bridges, amid reports of empty shelves in food shops (Ukraine Battlefield update, Day 1,568)  EUobserverExclusive: Ukraine's drone commander wants to cut Crimea off from Russia  Reuters‘Highway of death’: the Ukrainian drone campaign menacing Russian logistics  The GuardianWar in Ukraine: Kyiv strikes key Russian supply lines  DW.comRussian Offensive Campaign Assessment, June 7, 2026  Institute for the Study of War"
2026-06-11,TOP_NEWS,"Bank of Japan set to hike rates to 31-year high, drop hawkish signals - Forex Factory","Bank of Japan set to hike rates to 31-year high, drop hawkish signals  Forex FactorySee more headlines & perspectives on Google News"
2026-06-11,TOP_NEWS,Massive Effigy of Elon Musk Raised Over Times Square to Protest Grok - WIRED,"Massive Effigy of Elon Musk Raised Over Times Square to Protest Grok  WIREDGiant inflatable Elon Musk appears in Times Square one day before SpaceX IPO, with a scathing message for its CEO  Yahoo Finance UKInflatable Musk Appears in Times Square in SpaceX IPO Protest  WSJElon Musk SpaceX  goSkagit"
2026-06-11,TOP_NEWS,US producer prices spike in May as soaring energy prices fuel largest yearly jump since 2022 - AP News,US producer prices spike in May as soaring energy prices fuel largest yearly jump since 2022  AP NewsSee more headlines & perspectives on Google News
2026-06-11,TOP_NEWS,I'm Glad Apple Isn't Hyping Up Agentic AI (Yet) - Engadget,"I'm Glad Apple Isn't Hyping Up Agentic AI (Yet)  EngadgetHow Apple rebuilt Siri with Google's AI  Yahoo FinanceApple’s new Foundation Models explained: on-device AI, cloud AI, and everything in between  9to5MacWWDC 2026: Between Seasons  MacStoriesApple’s Siri Meets the Memory Crunch  WSJ"
