date,source,title,description
2025-07-01,TOP_NEWS,"Senate passes Trump’s tax bill, sending it to House for final passage - The Washington Post","Senate passes Trump’s tax bill, sending it to House for final passage  The Washington PostHere’s how Trump’s megabill will affect you  CNNJohnson on the megabill: ‘ I’m not happy with what the Senate did to our product’  PoliticoThey Didn’t Have to Do This  The AtlanticSome House Republicans Already Plan to Vote Against Trump’s Policy Bill  The New York Times"
2025-07-01,TOP_NEWS,"Trump-Musk feud reignites, and now the Tesla and SpaceX CEO's companies are in the spotlight - NBC News","Trump-Musk feud reignites, and now the Tesla and SpaceX CEO's companies are in the spotlight  NBC News'We're ignoring him': GOP senators react to Musk's threat to primary supporters of Trump's 'beautiful' bill  Fox NewsTesla shares drop on Musk, Trump feud ahead of Q2 deliveries  CNBCElon Musk Promises a New Political Party if Republicans Pass Trump’s Policy Bill  The New York TimesTrump slams Elon Musk as feud reignites before Senate vote  Yahoo Finance"
2025-07-01,TOP_NEWS,"Medicaid cuts in Trump's 'big beautiful bill' will leave millions uninsured, threaten rural hospitals - CNBC","Medicaid cuts in Trump's 'big beautiful bill' will leave millions uninsured, threaten rural hospitals  CNBCWhat the GOP’s tax bill means for your health care  The Washington PostSenate megabill marks biggest Medicaid cuts in history  The HillHow Trump's tax bill could cut Medicaid for millions of Americans  USA TodayHealth-care cuts in GOP’s budget bill may add up to $22,800 in medical debt for some families: Report  CNBC"
2025-07-01,TOP_NEWS,"Senate Clears the Way for State AI Regulation. Meta, Amazon, and Alphabet Stock Fall. - Barron's","Senate Clears the Way for State AI Regulation. Meta, Amazon, and Alphabet Stock Fall.  Barron'sUS Senate strikes AI regulation ban from Trump megabill  ReutersHow tech’s bold bid to curb AI laws fell apart  The Washington PostSenate Votes 99-1 to Strip AI Provision From Trump’s Tax Bill  Bloomberg.comSenators Reject 10-Year Ban on State-Level AI Regulation, In Blow to Big Tech  Time Magazine"
2025-07-01,TOP_NEWS,What to know about the Bryan Kohberger case as a plea deal emerges over Idaho murders - NPR,"What to know about the Bryan Kohberger case as a plea deal emerges over Idaho murders  NPRProsecutors offered Bryan Kohberger a plea deal despite a mountain of damning evidence — here’s what they had  New York PostFamily of victim in Bryan Kohberger case say they were sent into 'panic mode' after plea deal  Fox News'Idaho has failed': Father of University of Idaho murder victim slams apparent Kohberger guilty plea deal  NBC NewsIn Idaho college town where 4 students were killed, relief and anger over Bryan Kohberger plea deal  AP News"
2025-07-01,TOP_NEWS,Gov. Newsom signs housing bill overhauling California's landmark environmental law - NBC News,"Gov. Newsom signs housing bill overhauling California's landmark environmental law  NBC NewsGov. Newsom signs housing bill overhauling California’s landmark environmental law  AP NewsWith CEQA Scaled Back, California Hopes for a Housing Boom  The New York TimesNewsom pushes major housing reform through California Legislature  Los Angeles TimesCalifornia overhauls landmark environmental protection rules  The Guardian"
2025-07-01,TOP_NEWS,Vance’s potential 2028 Democratic rivals want him to be the face of the megabill - Politico,Vance’s potential 2028 Democratic rivals want him to be the face of the megabill  PoliticoOpinion | The Point: Conversations and insights about the moment.  The New York TimesJD Vance’s prior vision for populism is largely absent from GOP tax bill  The Washington PostJ.D. Vance Dismisses Kicking Millions Off Medicaid: ‘Minutiae’  Rolling StoneVance: Medicaid cuts in tax bill 'immaterial' compared to ICE increase  USA Today
2025-07-01,TOP_NEWS,‘Agonizing': How Alaska’s pivotal Republican senator decided to vote for Donald Trump’s bill - AP News,"‘Agonizing': How Alaska’s pivotal Republican senator decided to vote for Donald Trump’s bill  AP NewsMurkowski Casts Decisive Vote for Trump Policy Bill, Making an ‘Agonizing’ Choice  The New York TimesHow Republicans got Murkowski to yes on Trump's megabill  PoliticoGOP Sen. Murkowski cast crucial vote for Trump's megabill after getting key carveout  CNBCMurkowski silently stares down NBC reporter asking about her 'Big Beautiful Bill' vote  Fox News"
2025-07-01,TOP_NEWS,Keir Starmer Endures Rebellion in Parliament Over Welfare Cuts - The New York Times,"Keir Starmer Endures Rebellion in Parliament Over Welfare Cuts  The New York TimesGovernment delays Pip changes in last-minute concession ahead of key welfare vote  BBCStarmer wins vote on UK welfare reform but suffers damaging rebellion  ReutersUK’s Starmer junks major welfare reform after Labour revolt  politico.euStarmer faces down a revolt over welfare reform after a troubled first year in office  ABC News - Breaking News, Latest News and Videos"
2025-07-01,TOP_NEWS,Thailand's political chaos: what happens next? - Reuters,Thailand's political chaos: what happens next?  ReutersThailand: PM Paetongtarn Shinawatra suspended over leaked phone call  BBCWorld leader suspended from office over leaked phone call after deadly border dispute  Fox NewsPrime Minister Paetongtarn Shinawatra Suspended Amid Cambodia Dispute  The New York TimesProtesters in Bangkok demand resignation of prime minister over leaked phone call  The Guardian
2025-07-01,TOP_NEWS,The Eiffel Tower is closed to tourists due to searing heat. Here’s why it’s happening - CNN,"The Eiffel Tower is closed to tourists due to searing heat. Here’s why it’s happening  CNNSpain and England record hottest June as heatwave grips Europe  BBCItaly limits outdoor work as heatwave breaks records across Europe  The GuardianEurope’s expanding heat wave fuels record temperatures, including in the Alps  The Washington PostHeat wave shutters Paris' Eiffel Tower as Europe bakes  CBS News"
2025-07-01,TOP_NEWS,"Exclusive: Iran made preparations to mine the Strait of Hormuz, US sources say - Reuters","Exclusive: Iran made preparations to mine the Strait of Hormuz, US sources say  ReutersIran readied to mine Iran’s Strait of Hormuz after Israel began strikes — US sources  The Times of IsraelIran prepared naval mines in Strait of Hormuz during 12 Day War  The Jerusalem PostUS intelligence: Iran prepped mines for Strait of Hormuz  Israel National NewsTrump: Israel ‘agreed to necessary conditions to finalize’ 60-day Gaza ceasefire  The Times of Israel"
