date,source,title,description
2025-07-28,TOP_NEWS,France and Germany lead downbeat EU response to US trade deal - BBC,France and Germany lead downbeat EU response to US trade deal  BBCTrump’s Tariffs on Medicines From Europe Stand to Cost Drugmakers Billions  The New York TimesWhat to expect from the new U.S.-EU trade framework announced by Trump  PBSTrump’s $750 Billion Deal for U.S. Energy Collides With Market Reality  The Wall Street Journal5 takeaways as Trump’s trip to Scotland nears conclusion  The Hill
2025-07-28,TOP_NEWS,"3 dead, several injured in shooting outside casino in Reno: Police - ABC News","3 dead, several injured in shooting outside casino in Reno: Police  ABC NewsNew details emerge in GSR shooting  KOLO | 8 News NowThree people killed in mass shooting at Reno casino  Los Angeles Times3 dead and several injured in an early-morning shooting outside a Reno casino  CNNGunman shoots multiple people at Reno, Nevada, casino, killing two before being taken into custody  Yahoo Home"
2025-07-28,TOP_NEWS,Trump acknowledges ‘real starvation’ in Gaza and tells Israel to let in ‘every ounce of food’ - The Guardian,"Trump acknowledges ‘real starvation’ in Gaza and tells Israel to let in ‘every ounce of food’  The GuardianThe Only Information Source Trump Trusts  The AtlanticTrump calls for more Gaza aid during meeting with UK’s prime minister  AP NewsTrump urges Israel to allow food into Gaza as he sees ‘real starvation’ there  PBSFor Trump, Starvation in Gaza Tests His Foreign Policy Approach  The New York Times"
2025-07-28,TOP_NEWS,"A frustrated Trump gives more details on his relationship with Epstein, as the scandal follows him abroad - CNN","A frustrated Trump gives more details on his relationship with Epstein, as the scandal follows him abroad  CNNJeffrey Epstein thrown out of Mar-a-Lago for hiring the help: Trump  Fox NewsTrump offers a new explanation for his fallout with Jeffrey Epstein  The Washington PostTrump Says He Declined Epstein’s Invitation to Visit His Island: ‘I Never Had the Privilege of Going’  The New York TimesWATCH: Trump says he ended friendship with Epstein because he ‘stole people that worked for me’  PBS"
2025-07-28,TOP_NEWS,Roles reversed: A veteran Gaza aid worker pleads for survival - NPR,Roles reversed: A veteran Gaza aid worker pleads for survival  NPRWhat to Know About Starvation in Gaza and Deadly Violence Near Aid Sites  The New York TimesIsrael’s leader claims no one in Gaza is starving. Data and witnesses disagree  AP NewsOne meal a day. $20 for an egg. Choosing which kid gets fed. Starvation stalks Gaza  USA TodaySatellite images show how receiving aid in Gaza became so deadly  The Economist
2025-07-28,TOP_NEWS,Police search for suspect who fatally attacked couple in Arkansas’ Devil’s Den State Park - AP News,"Police search for suspect who fatally attacked couple in Arkansas’ Devil’s Den State Park  AP NewsCouple killed at Arkansas' Devil's Den State Park 'died heroes protecting their little girls,' family says  Fox NewsHikers react to Devil's Den double homicide  KATVCouple slain while hiking with daughters in Arkansas state park, police say  Yahoo HomeSuspect on the run after killing couple hiking with their 2 kids at Arkansas' Devil's Den State Park: Police  ABC News"
2025-07-28,TOP_NEWS,The heat wave in the Eastern U.S. is peaking. When will it finally ease? - The Washington Post,"The heat wave in the Eastern U.S. is peaking. When will it finally ease?  The Washington PostHistoric heat: Tampa, Florida hits 100 degrees for first time on record  News 5 Cleveland WEWSTampa Hits 100 Degrees for the First Time as Heat Grips the Southeast  The New York TimesEastern US swelters from heatwave as high temperatures affect half of country  The GuardianMore than 170 million under heat alerts in the South and the East  NBC News"
2025-07-28,TOP_NEWS,Trump keeps Canada guessing as trade deadline looms - Politico,Trump keeps Canada guessing as trade deadline looms  PoliticoOpinion: Trump’s trade deal with Europe is a bad precedent for Canada  The Globe and MailTrump says US may not reach trade deal with Canada  BBCCanada warned not to ‘take just any deal’ as Trump tariff deadline nears  CTV NewsTrump’s tariffs are promoting free trade — in Canada  The Washington Post
2025-07-28,TOP_NEWS,"Thailand and Cambodia agree to 'immediate and unconditional' ceasefire, Malaysian PM says - ABC News","Thailand and Cambodia agree to 'immediate and unconditional' ceasefire, Malaysian PM says  ABC NewsThailand and Cambodia agree to 'immediate and unconditional ceasefire'  BBCCambodia has conducted attacks after ceasefire deadline, Thai army says  ReutersThai-Cambodian Conflict Tears at Remnants of a Once-Proud Empire  The New York TimesThailand, Cambodia reach ceasefire deal to end conflict that displaced 260K, Trump says  Fox News"
2025-07-28,TOP_NEWS,Israeli NGOs say Israel is committing genocide in Gaza - DW,"Israeli NGOs say Israel is committing genocide in Gaza  DWIn a First, Leading Israeli Rights Groups Accuse Israel of Gaza Genocide  The New York TimesIsraeli human rights group: Israel is committing genocide in Gaza  Al JazeeraHow We at Physicians for Human Rights Israel Decided That the Gaza War Is a Genocide  HaaretzIs this Gaza’s ‘bomb the tracks’ moment?  +972 Magazine"
