date,source,title,description
2026-05-01,TOP_NEWS,Trump Says Iran Conflict Is Over—and Sidesteps Congress - WSJ,"Trump Says Iran Conflict Is Over—and Sidesteps Congress  WSJTrump declares hostilities with Iran ""terminated""  AxiosTrump claims other presidents flouted war powers law. It's a mixed record  BBCTrump Tells Congress Why He Doesn’t Need Its Authorization for the Iran War  The New York TimesTrump says Iran conflict is ‘terminated’ as he hits congressional deadline  The Washington Post"
2026-05-01,TOP_NEWS,Judge rebukes prosecutors for moving forward with detention proceedings for accused correspondents' dinner gunman - CBS News,Judge rebukes prosecutors for moving forward with detention proceedings for accused correspondents' dinner gunman  CBS NewsCNN video analysis: Gunman raised shotgun as he stormed security at press dinner  CNNFirst on CNN: Judge privately admonishes prosecutors for grandstanding at hearing for press dinner gunman  Local 3 NewsJudge 'clearly annoyed' at Trump DOJ over 'unprecedented' move in would-be shooter hearing  rawstory.comCNN analyst floored as DOJ 'circus' slapped down by judge  rawstory.com
2026-05-01,TOP_NEWS,"Thousands in US join ‘no school, no work, no shopping’ May Day protest and economic blackout - The Guardian","Thousands in US join ‘no school, no work, no shopping’ May Day protest and economic blackout  The GuardianMay Day protests in DC target Trump administration policies, highlight labor and immigration issues  WTOPNationwide May Day protests pick up mantle of 'No Kings'  NPRMay Day rallies sweep US, demanding reforms for working-class rights  Al JazeeraMay Day protest draws hundreds to downtown Phoenix  The Arizona Republic"
2026-05-01,TOP_NEWS,Authorities Share New Video of Suspect in White House Correspondents’ Dinner Shooting - The New York Times,"Authorities Share New Video of Suspect in White House Correspondents’ Dinner Shooting  The New York TimesPirro says video shows moment gunman fired outside correspondents’ dinner  The Washington PostNew security footage of WHCD suspected shooter released  CNNVideo shows Cole Allen scouting hotel, storming checkpoint in alleged Trump assassination attempt  CNBCYou Might Be Having a Strange Reaction to the Trump Assassination Attempt. You’re Not Alone.  Slate"
2026-05-01,TOP_NEWS,"Bard College’s President, Leon Botstein, Will Retire After Epstein Revelations - The New York Times","Bard College’s President, Leon Botstein, Will Retire After Epstein Revelations  The New York TimesBard College president to retire after revelations of his ties to Epstein  CBS NewsBard College President Leon Botstein retiring after Jeffrey Epstein ties detailed  CNBCLeon Botstein resigns as Bard College president  Times UnionBard president Leon Botstein stepping down after inquiry into his Epstein ties  The Guardian"
2026-05-01,TOP_NEWS,Voting rights groups sue to block Louisiana from suspending primary elections - The Guardian,Voting rights groups sue to block Louisiana from suspending primary elections  The GuardianVoters Sue Over Louisiana Governor’s Move to Delay Primary  The New York TimesLouisiana House candidate sues over suspended primary  The Hill‘An unmitigated s--t show fever dream’: Louisiana enters election chaos  PoliticoEarly voting set for May 16 election in West Monroe  KNOE
2026-05-01,TOP_NEWS,"May Day marked by protests, celebrations, arrests - DW.com","May Day marked by protests, celebrations, arrests  DW.comNYC May Day: Protests and rallies take place across five boroughs  ABC7 New YorkWhat to know about May Day demonstrations as workers face rising energy costs due to Iran war  AP NewsWhat to know about May Day as workers face rising costs due to Iran war  PBSLabour Day marches and Buddha’s birthday: photos of the day – Friday  The Guardian"
2026-05-01,TOP_NEWS,Man charged with attempted murder after stabbings of Jewish men in London - NPR,Man charged with attempted murder after stabbings of Jewish men in London  NPRView Full Coverage on Google News
2026-05-01,TOP_NEWS,Israel releases all but two activists in Greece after intercepting Gaza aid flotilla - BBC,Israel releases all but two activists in Greece after intercepting Gaza aid flotilla  BBCSinking the ‘condom flotilla’: How Israel took control of the Global Sumud Flotilla narrative  The Jerusalem PostRSF condemns ‘kidnapping’ of three journalists on board Gaza aid flotilla  Al JazeeraIsrael Intercepts Aid Flotilla Heading to Breach Naval Blockade of Gaza  The New York TimesIsraeli forces intercept Gaza aid flotilla and plans to drop off activists in Greece  AP News
2026-05-01,TOP_NEWS,Exxon and Chevron quarterly earnings fall despite soaring oil prices - The Guardian,"Exxon and Chevron quarterly earnings fall despite soaring oil prices  The GuardianExxon Mobil CEO expects higher oil prices due to Iran war: ‘The market hasn’t seen the full impact’  CNBCExxonMobil and Chevron earnings fall, but bigger profits are on their way because of soaring oil prices  CNNBig Oil CEOs Warn Energy Market Is Moving Closer to Cliff’s Edge  Bloomberg.comExxonMobil's Q1 Earnings on Deck: Should You Bet on the Stock?  Yahoo Finance"
