date,source,title,description
2026-04-10,TOP_NEWS,Epstein survivors have mixed feelings on Melania Trump's call for hearing in Congress - NPR,"Epstein survivors have mixed feelings on Melania Trump's call for hearing in Congress  NPRTrump Says First Lady ‘Had a Right’ to Talk About Epstein  The New York TimesTrump news at a glance: Epstein survivors have words for Melania Trump after surprise statement  The GuardianMelania Trump's outfit was coded. She's a victim, but not Epstein's  USA TodayOpinion | Melania Trump’s Epstein denial centers attention on the scandal — and her  MS NOW"
2026-04-10,TOP_NEWS,"Democrat Kamala Harris teases 2028 presidential bid, following Trump loss - Al Jazeera","Democrat Kamala Harris teases 2028 presidential bid, following Trump loss  Al JazeeraHarris gives her clearest signal she is mounting a 2028 presidential bid  PoliticoKamala Harris tells crowd she is ’thinking about’ 2028 presidential bid  Anchorage Daily NewsKamala Harris ‘thinking about’ running for president again in 2028  The Guardian‘I know what it requires’: Harris on why she’s thinking about running for president in 2028  CNN"
2026-04-10,TOP_NEWS,"Husband of American woman missing in Bahamas will remain in police custody after being questioned, attorney says - CNN","Husband of American woman missing in Bahamas will remain in police custody after being questioned, attorney says  CNNSee the messages Brian Hooker sent his friend after wife's disappearance in the Bahamas: ""The wind blew me away""  CBS NewsMissing Michigan woman's husband fell off police boat in Bahamas, lawyer says  The Detroit NewsAmerican couple's Bahamas dinghy was ill-equipped for conditions night of wife's disappearance: friend  Fox NewsLawyer says police likely considering murder charge for husband of American woman missing in Bahamas  NBC News"
2026-04-10,TOP_NEWS,"Former Rep. Eliot Engel, who worked on foreign affairs for decades, dies at 79 - Politico","Former Rep. Eliot Engel, who worked on foreign affairs for decades, dies at 79  PoliticoView Full Coverage on Google News"
2026-04-10,TOP_NEWS,Five people charged with murder in deadly Northern California fireworks warehouse explosion - AP News,Five people charged with murder in deadly Northern California fireworks warehouse explosion  AP NewsView Full Coverage on Google News
2026-04-10,TOP_NEWS,Trump criticizes Iran not allowing more oil through Strait of Hormuz: 'Not the agreement we have' - Fox News,"Trump criticizes Iran not allowing more oil through Strait of Hormuz: 'Not the agreement we have'  Fox NewsIran’s strait toll violates law, nautical customs  Hindustan TimesTrump fumes as Iran retains choke hold on Strait of Hormuz ahead of peace talks  The Washington PostTankers urged not to pay toll to Iran for use of strait  BBCStrait of Hormuz remains all but closed, Trump demands Iran stop tolls  Axios"
2026-04-10,TOP_NEWS,Elections in Hungary: What do the polls say? - Euronews,Elections in Hungary: What do the polls say?  EuronewsFinal push for votes as challenger to Hungary's Orbán scents victory  BBCThis Hungarian Town Explains Why Orban Could Lose on Sunday  The New York TimesViktor Orbán Could Actually Lose Sunday’s Hungarian Election  The AtlanticFive things to know about Hungary's election  NPR
2026-04-10,TOP_NEWS,Prince Harry sued for defamation by Sentebale charity he co-founded - Al Jazeera,Prince Harry sued for defamation by Sentebale charity he co-founded  Al JazeeraPrince Harry Is Sued for Libel by a Charity He Founded  The New York TimesPrince Harry sued by charity he co-founded to honor Princess Diana  ABC NewsPrince Harry sued for defamation by charity he co-founded  The GuardianPrince Harry sued for defamation by charity Sentebale he co-founded  BBC
2026-04-10,TOP_NEWS,"Shortlisted for an Oscar, 'Homebound' is a daring movie about two dear friends - NPR","Shortlisted for an Oscar, 'Homebound' is a daring movie about two dear friends  NPR"
2026-04-10,TOP_NEWS,Lebanon and Israel officials to meet in US on Tuesday - BBC,"Lebanon and Israel officials to meet in US on Tuesday  BBCIsrael agrees to talks with Lebanon as strikes there threaten fragile U.S.-Iran truce  PBSNetanyahu approves talks with Lebanon after Israeli strikes imperil Iran ceasefire  AP NewsIn first-ever call, Israel's envoy to US says he told Lebanese counterpart Israel rejects a truce with Hezbollah  The Times of IsraelIsrael Complicates Trump’s Push for Peace With Iran  The New York Times"
